Author,Comment
@jesusthegiftofgod3625,"Jesus is the Way, the Truth, and the Life. Jesus said to Thomas, &quot;I am the way, the truth, and the life. No one comes to the Father except through Me&quot;. There is only one way to heaven. That Way is Jesus and his word of truth. No other can grant us eternal life."
@LofiSpaceArt,"The community of lofi music enthusiasts is growing, with many artists producing and releasing lofi music on online platforms. People often seek out lofi music on YouTube, Spotify, and music streaming apps to enjoy this genre."
@Lofi_pianocover,"Best Lofi Song https://youtu.be/ASJpdisWJho?si=EHVg09BJyqw_R9Ij ❤❤"
@kokorobugyo3544,ok
@GorillaRelaxingplace,"I Hope all of you have a wonderful day 💙🎵"
@selfchiropractor7167,ヤバ🎉新しいジャンルどハマリ🎉
@jianmarketing,"Amazing pictureee"
@justinsalazar1685,"Just kidding everyone enjoy the day!"
@justinsalazar1685,"Don’t know if someone is reading this……:::  and I don’t care 😅"
@user-sn1mi7zz2d,"This is my drawing companion🥰🥰🥰"
@user-qo4rs4xz3d,"Morning everyone!! <br>I&#39;m working on a short story, using the 54 min to just free write, no stopping! Good luck and best wishes to everyone else studying, working, or best of all, chilling! :3"
@aestheticgirl.studio,"A ramen and a coffee please"
@kevinwisanggeni7096,"ice vietnam coffe please"
@kei_yw,"This lovely coffee shop is closed, sad ("
@JoshDavion,"212nd Commented 💙 : We&#39;re back again to this video."
@DeepHealingMusic333,"To the beautiful soul 🌺"
@Jay-ft3xh,"Elaz and Atamatoki with Rosuto.... yes. Yes! YES!"
@MusynthAbstract,"<a href=""https://www.youtube.com/watch?v=ix_KyixALII&amp;list=LL&amp;index=1"">https://www.youtube.com/watch?v=ix_KyixALII&amp;list=LL&amp;index=1</a>"
@KY.F9,"As dores e incertezas da vida são apenas pedras no caminho, se olhar mais a frente verá que estão aí para te ajudar, descanse, beba um café ou um cházinho se preferir, leia um livro e sinta o sol do dia em seu rosto, apesar de tudo isso que torna a vida, bem... a vida"
@livpeven,"this is my favourite mix :3 thank you!"
@Prince.Archareuxxx,"Have a nice day everyone!"
@DDP-np6ds,"This is exactly what I needed right now...<br>Some hot Genmaicha and vibes!!!!"
@MySoothingCorner,"I love this video! It&#39;s so relaxing and calming. I&#39;m definitely subscribing to your channel😍"
@PianoJazzCafe,"Nothing beats the old classical Christmas music. Makes you feel that despite all the hard things we&#39;ve been through the year somehow it&#39;s going to be alright."
@BLUEHALO-dk3yh,"It&#39;s a relaxing YouTube. Thank you"
@red_ashcroft,"I hope everyone find themselves in a comfortable position and relaxing to these beautiful music! Have a great day!"
@relaxingmusicbgm268,"This smooth jazz is so soothing to the heart and soul! ♡ Love it!"
@aparna5532,"To whoever reading this and struggling with your academics, work life and mental health at the moment..I see you and you are not alone! 🥺 Don’t be scared of failing and quit thinking about outcomes. Just try your best and never lose hope! You’re doing your best and I’m proud of you, stranger! You got this ✨Don’t forget to stay hydrated and take breaks ❤ Fighting!"
@instantsleep23,"To everyone tuning into this jazzy lofi mix, may the warm notes and soothing beats wash over you like a comforting cup of coffee on a chilly morning in Kyoto. In these moments of musical bliss, I genuinely hope that all your worries and anxieties begin to dissolve. Let the intricate melodies guide your thoughts away from the chaos and towards serenity. And as you find solace in these beats, remember that every sunrise offers a new beginning. Here&#39;s to finding moments of peace in the midst of life&#39;s hustle. Stay centered, and may your heart find its rhythm. 🍵🎶🌸🇯🇵"
@kaizokamikaze5150,"i just open the video for 3sec and just want to write this as 5 start if i can rating it"
@TheMelodyOfHeaven,"Hello :), How do you find my new lofi music (streamed yesterday)? <a href=""https://www.youtube.com/live/CjzwekxYOuo?feature=shared"">https://www.youtube.com/live/CjzwekxYOuo?feature=shared</a>"
@quincymary3850,😃
@jazzmusic.station,"Wishing everyone a wonderful day!"
@BUGPLAYS,"I appreciate the fact everyone in the lofi community, especially Jazz Hop Cafe, is here to mentally escape life for a bit and offer up kindness instead."
@Wckd79,"I live in Kyoto and recognized the inspiration for the artwork immediately . <a href=""https://maps.app.goo.gl/PkqLp8pcdGYNr38r7"">https://maps.app.goo.gl/PkqLp8pcdGYNr38r7</a>"
@romalac24,"<b>*Welcome to LofiVibe Relax: Your Oasis of Serenity in the Digital World*</b><br><br>Are you looking to escape the chaos of everyday life? Seeking solace in a world filled with endless hustle and bustle?<br><br>to my channel video link <br><br>[lofiVibe Relax ](<a href=""https://www.youtube.com/channel/UCDqB3MSRCSqZPTUqRUOtOWQ)"">https://www.youtube.com/channel/UCDqB3MSRCSqZPTUqRUOtOWQ)</a>"
@LofiontheRooftop,"peacefull, nice music, thank for sharing, love it"
@koalaTtime,"I keep coming back to this playlist its just so relaxing :)"
@NowYoga.,"This is truly a great video. I am a yoga YouTuber from Jeju Island, Korea. If you are interested in Korean, please come visit us^^ Have a nice day^^"
@FunyVibes154,❤❤
@Renvaar1989,"Damn I wish I could open a little coffee shop and play this stuff all day..."
@user-io5zj3wx9l,"We appreciate audios like this. They’re enjoyable to listen to.. I love these Japan vibes.."
@satoshiyt4193,"you are my favorite person but not today ;) <br>Eastern September 24, 2023"
@GambitRaps,"Love this, right in time for autumn. Thanks for uploading!"
@LearnWithFun391,"Promo sm <a href=""http://www.youtube.com/results?search_query=%23lofi"">#lofi</a> <a href=""https://youtu.be/akHTHLGqahg"">https://youtu.be/akHTHLGqahg</a>"
@BetoOro62,"Awesome background amazing music ❤"
@lofihitsmusic,🔥
@MellowMindfulMusic,"Love these sounds, helps me stay peaceful"
@user-yc6pv4nj8u,"This is great music, love it. Serence, mysterious and magical.. I love these Japan vibes.."
@LazyTurtle-qv2ox,"This is great music, love it. Serence, mysterious and magical."
@LofiAilurophile-lq4oi,"This is so beautiful❤  I am so sad that I don’t get to watch your videos live anymore 😢"
@TGFTTGFFGTTRUEFHROWHEF,"making  expresso now~<br>with forex trading.~    floating profit $84,000+"
@of.sunset,"Why aren’t these on Spotify anymore?"
@gabrielserafim3141,"que coisa mais linda! ❤"
@nikiblack8363,"Wow what a vibe man , love this❤😊😍"
@soulcharlie,"I don’t know who you are but I wish you a happy life!❤"
@kristenj2009,"Amazing artwork! Also, I&#39;ll have a mocha, 1 sugar please ☝"
@riya1100,"man, i love your channel"
@JazzHappyLife,"Hey friends who are reading my comment don&#39;t worry God will come with measures in your life everything will be fine♥"
@jazzcoffeetimechannel,"So great for when studying! Perfect balance of piano and rain sounds to keep me focused (:"
@cristiangnecco702,"Love this set! thank you so much for the music and art as well. It helps me to stay focused and being relaxed at the same time"
@CH1LLAXE,"This is amazing! I make lofi as well, come check out some of my songs sometime! :)"
@relaxingjazzsaxophone,"I’ve never felt so relaxed on a rainy video, I love commenting stuff even if no one sees it, it makes me feel so free to just type how I’m feeling which brings me so much peace🥰"
@OneStarOfficial,"I don&#39;t want much, I just want the person reading this to be healthy, happy, and loved. Wishing you a good day my friend. 😀👍😀"
@aihumansa1music,"perfect sound to start your day! Thank you for this!"
@user-ep9je7rb6q,素敵な音色で癒されます！
@DailyLofiChill,"To whoever might stumble upon this message, whether by chance or fate: You are truly incredible and radiate beauty from within. Remember that your potential knows no bounds, and I have absolute faith in you! 💖 Here&#39;s to hoping your day is filled with positivity and warmth, dear friend. 🌟🌿"
@thecoffemusic,"I know my comment is easily lost here, but if you&#39;re reading this, it&#39;s no coincidence. Be sure, gain strength! Even if you are going through something very difficult in your life. Believe that everything will work out! This is just a phase, hang on! I know we don&#39;t know each other, but I believe in you! Rest assured that God is always on your side!"
@itsjustnatalia,"I swear to god, no matter how many lofi channels I find, I always end up coming back to this one. There is something seriously special about your artwork and playlists ✨✨"
@vigilantes4982,"Greatest Mix"
@LateonDaBeat-wp7zx,"looove the 7th chords in these beats"
@ChillBeatsDaily,"perfect for the morning routine 😍"
@BlissfulBeat151,"What an incredible vibe and mix! It&#39;s absolutely perfect for setting the mood for Japan cafe adventures. 🍵🌸 Thank you once again for the honor of featuring my tracks on this compilation. ❤❤❤ Your support is greatly appreciated! 🎶🙏"
@WildMusicArt-jf6vx,"<b>My friend, Thank you for your hard work in making the video. I enjoyed the good video. Have a happy day.</b>"
@Emma_476,"It was very relaxing"
@CoffeeRelaxingJazzy,"This is great. The music is beautiful, it calms. I am sincerely grateful to you for it"
@Shaman42069,"I&#39;m trying to find that LoFi Swing/Jazz/HipHop mix from The Jazz Hop Café (The one that includes Billy Holiday saying &quot;Thank you very much, ladies and gentlemen), but it doens&#39;t appear anywhere. It&#39;s my favorite one and I&#39;d love to find it - does anyone know if its been removed? Thanks!!"
@cafechillmood,"What an incredible vibe and mix! It&#39;s absolutely perfect for embarking on Japan cafe adventures. 🍵🌸 Thank you once more for the honor of featuring my tracks on this compilation. ❤❤❤"
@CafeSpaceJazz,"Your music relaxes me so well"
@MundoLofi,"I really enjoy this"
@LofiCommunity,"Absolutely loved this content! 🌟 Been trying to create similar vibes on my channel. Anyone else here passionate about some mix of Lofi and other Music? Would love to connect and share ideas! 💡🎥"
@sneezecat5676,"I love what i&#39;m seeing there. It inspires me so much.. i want to be like the bartender.. peaceful, proud of his drinks and happy to see people loving it..❤  BEAUTIFUL 😭♥️"
@Robertoclos-ib7cc,"In the name of Allah, I invite you to worship Allah alone: I bear witness that there is no god but Allah, and I bear witness that Muhammad is the Messenger of Allah. These words make you a servant of Allah.  ...........   ..........."
@joshhoe,"Amazing vibe and mix !! Perfect for Japan cafe adventures !! Thank you again for the privilege of having my tracks on the comp ❤❤❤"
@JesusGarciaParrado,☕
@MimiChillVibes,"What a lovely message! Even if you&#39;re unsure who&#39;s reading this, your words are heartfelt and uplifting. Thank you for spreading positivity and kindness. I believe in you too! Wishing you a wonderful day filled with joy and warmth. 🌸💖🌟"
@superemotes,"pepeD POLICE POLICE POLICE"
@drewalyson5799,"The backgound animation look sooo cozy! 😍😍😍"
@AlbaMusicArt,"Have a good day, life is unfair sometimes so we have to be fair for everyone in it. &lt;3"
@ComusCat,"I have always loved jazz ! You have created a perfect combination 👏"
@juanvillarrealsaez8042,Excelente!
@Lostonthisisland,"Absolutely loving this one! The music is wonderful, the art is cozy. I love it when there&#39;s movement in it- I feel like I could crawl into my screen, duck out of the rain and have a pleasant conversation with those two &lt;3"
@varinialynn,"I am always excited for these! Japan vibes always make them better too.(;"
@LazyDogMusicArt,"<b>Great job! I&#39;m obsessed with this!😊🎵👍😊🎵👍😊🎵👍😊🎵👍😊🎵👍😊🎵👍😊🎵👍</b>"
@JoonEasel,"멋진 영상 감사합니다 ^^ 음악과 영상이 좋아요^^"
@RelaxJazzCafe1990,"To everyone reading this and listening. Close your eyes, inhale and feel the air in your lungs give life to your beautiful soul. and as you exhale, release the tension in your shoulders, ease the tension in your neck and the back of your head. Allow peace to flow inside of every fiber and vein in your body. You are doing great. No matter what you are going through. You will be just fine. Hugs to you all."
@JazzCoffeeShopOfficial,"This youtube update that shows what song is playing in which section of the video is so helpful"
@anthonyle9308,🍵👍🏼
@user-rv5xi2fc1w,這次的很好聽，每首都對到我的頻率，有好幾首音調很舒服
@RelaxingLofiBeats21,"Good morning, jazz hop enthusiast! 🌞 This mix will be your perfect companion to make the workday breeze by, even on a slow holiday. Keep the positive vibes flowing, and enjoy your Labor Day! 😊🎵👍"
@CozyLofiAmbiance192,"This is incredibly cozy and exceptionally relaxing! Thank you very much for sharing in this wonderful experience. 🌟😌 Enjoy the tranquility!"
@ninas4968,"Oooh 😯 I love this 👏🏼❤️"
@lofigamma,"You always have excellent mixes."
@valerydm1987,"soooo relax :)"
@alexanderlonewolf,Nice
@mateoben7120,"Makes my day better every time <a href=""about:invalid#zCSafez""></a>"
@bima8033,"fresh music as always ❤"
@fatmanurakkiraz5523,"It&#39;s so good for study thank you..."
@cheekyjazzhop,"Great start, I lover Erwin&#39;s sound."
@ancaryvan4811,"😮 Wow can&#39;t believe I&#39;ve to touch the thumbnail 5 TIMES to get this clip properly. 😑 The commercials"
@Doseplays1,"For those wondering what the japanese on the stores say from left to right:<br><br>らめん - Ramen, more commonly written as らーめん or ラーメン<br><br>阮清國 (small brown sign next to ramen shop, probably the store name itself) - &quot;the pure country&quot;, 阮 denoting place name, 清 kanji meaning pure / alternative spelling of 明 (bright), 國 archaic spelling of 国 country (fitting for kyoto)<br><br>南　南海藝術 スタジオ 日本 - Southern ocean art studio japan, 南 (the one in the circle) south, 南海 southern ocean, 藝術 archaic spelling of 芸術 arts / the arts, スタジオ studio, 日本 Japan<br><br>電話 - phone (shortened from 電話番号 phone number). Fun fact, kyoto&#39;s area code is actually 075 not 085. The number on the sign would be from either Shimane or Tottori province.<br><br><br>I&#39;ve only passed the N5 so these might not be completely correct."
@lisaarney1531,"Enjoying every drop,  keep me coming back for refills ❤"
@geeggeeg,"ARE WE GETTIN A NEW SPOOKY AUTUMNAL MIX??? jazzhop pull THRUUU"
@mostlyclearlofi,"Something I miss doing on trips. Just taking my time with a meal. Letting time wash over you, without a care in the world"
@mitch1668,"Great artwork and atmosphere on this one!"
@omgitzsirairhorn,"To whomever is reading this, THERE&#39;S BUGS UNDER YOUR SKIN GET THEM OUT"
@dmappzoom6778,"good morning jazz hop family, this mix is gonna help me get through a long boring day at work. especially since I&#39;m working on one of the slowest days of the year, which happens to be labor day.😊"
@loroperla,"I miss rainy days so much"
@REPEATING89,Subscribed
@JoeSchmoHere,"I am straight vibbin&#39;,<br> this is a choice one for sure"
@heinebjergsen8536,"I love these Japan vibes."
@valentijnlos2173,"The greatest lofi channel on youtube nice to chill out on a troubelsome monday"
@soratafall,"this was so amazing... thank you very much!!💛☕"
@Marianne019,"I want to be in a place with cobbled streets and little cafes like this one. A slow and peaceful life. What a vibe."
@online247365,"A comment for the algorithm.👍🏻"
@bigbtennessee2534,"👍 Yall did a great job"
@_analina_,"I just love this lofi channel with all my heart ☁️ The music, the artwork, the atmosphere...everything is just incredible 🍂🤎"
@SSLofi_Music,"Don&#39;t know if someone is reading this, but if you are: You are amazing and beautiful! I believe in you! 💗  Wishing you a good day my friend. 🍃"
@sophiaisabelle000,"We appreciate audios like this. They’re enjoyable to listen to."
@Sumedha_675,"I love the artwork!! It&#39;s so pretty! &lt;3<br>Also, if you&#39;re early, I hope you have a wonderful day! Let&#39;s relax while listening to this awesome mix by JazzHop Café!! <br>If you&#39;re late, don&#39;t worry. I hope you also have a lovely day and enjoy your time while listening to this mix!! <br>Thanks for reading! Remember to take care of yourself! :)"
@KinBlofi,"To anybody reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind may clarity replace confusion. may peace and calmness fill your life. 🥰"
@TheJazzHopCafe,"🍵 What&#39;s your order? I&#39;ll have a matcha latte please. ☝<br>Streaming now across platforms <a href=""http://www.fanlink.to/roast"">www.fanlink.to/roast</a>"
@jamesherman3750,"This art direction sucks. And feels like you are using AI. Man, miss old Jazz Hop."
@TheOneGuitarGuy,"Lovely compilation. Thank you."
