Author,Comment
@user-tc3os2vz8z,"i like to much this lofi relax music and i wish this thing with for me    when but may allah believe im"
@LittleGirl99035,"This is hands down the best study channel on YouTube, and as promised, I am in a much better mood writing my final paper. Thank you for putting this together! :) &lt;3"
@laogangan,"Here, I found myself."
@Neosmoothbeats,"very cool loft mix 😊"
@pbhardwaj04,"Thank you for this lofi mix, i need it because i have an upcoming theory exam in driving this Friday and i&#39;ve been using this lofi playlist for helping me to concentrate. Thank you Little Soul, you are the best 😄😋"
@sumansandhu5033,"It really worked for me ❤thank God for such a gift , I was not able to focus on my work before but now it&#39;s not the same 😊"
@LofiNeonNights,"Hi everyone, hope you are all having a wonderful Monday 😉 Just wanted to let you all know we launched our new Lofi Channel the other day and would love for you to come check it out and Subscribe ❤️"
@user-lb3uy6fx4u,"I love ur usic video&#39;s it is so relieving...... I btw got good marks on my test this time ❤..<br>Can u plz make a seperate video of Pebelone - Where&#39;d you go plz plz plz plz plz plz"
@mani_11155..,"The music at <a href=""https://www.youtube.com/watch?v=FxJ3zPUU6Y4&amp;t=24m23s"">24:23</a> is so FUCKING good!!!"
@LofiSpaceArt,"I&#39;m currently developing a rpg style game as a single person. Sometimes i get distracted and loose track of what I&#39;m doing. This sound track helped me soooo much stay on track."
@casseybelle3066,"sooo, I&#39;m here just because of this handsome gentleman :3"
@manashvekhan8042,"<a href=""https://www.youtube.com/watch?v=FxJ3zPUU6Y4&amp;t=10m52s"">10:52</a> magic (spotted by my brother)"
@angelicahurtado1546,"I love this one, Little Soul!"
@enrikosouza3580,"<a href=""https://www.youtube.com/watch?v=FxJ3zPUU6Y4&amp;t=2h15m45s"">2:15:45</a> fica perfeito"
@ashleybookluver7184,"Is that James Sirius Potter studying?"
@pushpakumaradanturebandara2286,"This is amazing mix and real good for studying to me💧"
@lazycatmusicart,"Amazing mix! Felt really stressed when I got into work and couldn&#39;t stop thinking about personal issues, but this has chilled me out and now I&#39;m working more productively!"
@user-pw2hz8gd8m,"Very Nice . SO RELAXING AND CALM! FINISED ALL MY WORK!."
@GaTsMm2011,"must listen!"
@dreamofamansfortress9000,"I’m studying so so so hard to achieve the biggest success in my life - and my first step to my dream future! I need to do well on every single exam and I plan to work hard to get there! I hope that anyone reading this comment gets the same fortune and follows a path and destiny of greatness - work hard and you’ll get whatever you want! <br><br>Let’s achieve our dreams together!"
@hailey.aurora,"the cover looks a little like harry potter :)"
@drawingdream282,"If you&#39;re reading this, I hope that day comes real soon where your wildest dreams come true. Where you finally  feel that you are at peace with yourself and your surroundings. May your life be full of joy, strength, light, and  ease. May you lead a life full of positivity and greatness. You got this. It&#39;s gonna get better real soon"
@aprijalmuhaemin6797,"can I ask for the picture to be used as wallpaper?"
@ag-tube-1,"This helped me so much with studying"
@MOA_CHLOE_TXT,쩔어<br>~
@sebasjiannguyen4022,"To everyone who&#39;s studying with this music:<br><br>Checklist: <br>• A bottle of water, at least 1 liter. Your brain works better if it has enough water and drinking helps you to concentrate💧<br>• Your charger. You sometimes don&#39;t even notice that your device&#39;s battery is going down, so better have it plugged in all the time🔋<br>• Your headphones. You will be able to focus more with headphones because it blocks background noises. Also, if it&#39;s a late night study session, you won&#39;t wake up anyone🎧<br>• a tea or coffee. Coffee keeps you awake, green or black tea can make you feel more awake as well.☕<br>• Your study/work stuff:  your laptop/tablet/phone , a few pens, paper or whatever you need.⌨<br>•Anything else you could need, what about a heat pad, a blanket, a good lamp, and your pet so you have a study buddy (if you have one)🐈<br><br>Reminder: After an hour, you should stand up and walk a bit around. Better stop the music or put on different music for the break. Open your window, even if it&#39;s cold outside. Fresh air will make it better, trust me. <br><br>You could also lay your head down on your desk for ten minutes and listen to a podcast. Or, if you have to read a book, listen to the audiobook of it. You can also listen to the audiobook while doing another thing, that&#39;s even better than listening to music while reading the book. 📖<br><br>I hope y&#39;all had a good day, if not, that&#39;s okay too. Remember to take care of yourself and try to get some sleep tonight 😴🧸<br><br>(not mine! but copy paste it around!!)"
@diplo8802,"In all of these Lofi music video&#39;s where there&#39;s a moving background I always get really impressed that the coffee keeps steaming for a full 12 hours."
@LofiVibesRelaxationBeats,"Dealing with cancer, And these tunes take me totally out of the dark hopeless area and bring creativity and peace. Thanks to you And to all the lo fi lovers with a kind heart. Love you all."
@kayadefreitas316,"wow, it&#39;s so relaxing having to skip ads every 4 min of playing...."
@macbrown5543,"Why is the guy in the thumbnail kinda 😏😏"
@Night_OPS,"it does not help me :("
@user-mc3tx9rm9s,"thanks for this I never listened to lofi but now I know why people do I feel so focused really helps with my ADD :) &lt;3"
@its_me_22,"are you on spotify????"
@nirvil7743,"soo nice"
@SaadgamerlxYT,😍
@eviltwin8575,"writing a paper rn and this helped me write the first 1k words. thank you for these tuney bops :)"
@LoFiMetro,"Lofi&#39;s simplicity carries profound emotional resonance. The unassuming nature of the music allows listeners to connect with its raw, emotive qualities. Whether feeling nostalgic, stressed, or content, lofi has a unique ability to mirror and amplify our emotions."
@Horny05,"Very Nice 🔥🔥🔥"
@user-pu7rm5ss6s,"So peaceful my teacher was right to put on this music! Now it&#39;s much more enjoyable to do homework. Thank you so much!!!😍😍😍"
@nvlfsl,"it&#39;s so relaxing thank you (:"
@turbosnailfav,"the pic looks like Mr.Bratt off of the new Goosebumps"
@lachimolala3775,"This was so helpful...<br>Now all of my assignments are done..🙌<br>Thanks so much ❤"
@xiaoven.,"aggghh studying is too much god save me 😓😓😭"
@_Persephone_34,"I never really thought lofi would help, then i clicked on this video and managed to finish everything. Thank you"
@thelibertymomma8304,"I enjoy the channel, thank you! Do you do the animation effects yourself???"
@sanni1057,"I first clicked for the artwork (he’s so cute with the cat, studying in a cozy environment) but this lofi is truly something else! I actually listen to help me sleep faster 😅<br>Thank you and God bless you!"
@loficat00000,"Your video has motivated me to work, hope you have an energetic day like me today."
@user-yr3cv1er6r,"i like to knit to this"
@user-ms2zq1ki2z,"Pro tip: get off the comment section and start studying!<br><br>PS Ty for 145 likes!"
@adorbstr0pic,"Luv ur channel!"
@preethikaandey1769,"SO RELAXING AND CALM! FINISED ALL MY WORK!"
@ExperienceDawg,"fact: im working right now, im trying to solve (9×3) + (5×8)"
@mevadeviprajapat7236,"Mast ha...💗"
@Chillin_Child,"I invite you to visit my relaxing music🥰"
@user-nj4uf2xf3o,"studying to this music"
@CANBE-ChillANimeBEats,"Your music gives off a delightful feeling; it&#39;s a real pleasure."
@cobra.gamingofficial,😌😌❤‍🩹❤‍🩹
Shelly99,"Still love lofi, so peaceful"
@disneymusiccollection1010,"&quot;Beautiful relaxing music creating a happy positive atmosphere for both morning coffee time and winding down after a busy day! Pure perfection thank you. &quot;"
@leviallen3338,"this is just amazing!"
@nightlyfantasies,"Hey it&#39;s my twin again XD"
@ShineMedia-ud5px,"imagine having a deep convo on this balcony with your significant other until the sun comes up💕💕"
